kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,92,57,58,50,0.58,4,99.51333333333334,100.0,True
line,93,57,236,50,0.46,3,99.18,100.0,True
line,94,58,59,50,0.46,3,99.51333333333334,100.0,True
line,95,58,60,50,0.46,3,99.51333333333334,100.0,True
line,96,59,63,50,0.36,2,99.51333333333334,100.0,True
line,97,59,237,50,0.46,3,99.18666666666667,100.0,True
line,98,60,62,50,0.46,3,99.51333333333334,100.0,True
line,99,60,65,50,0.46,3,99.51333333333334,100.0,True
line,100,61,72,50,0.48,3,99.50666666666666,100.0,True
line,101,61,239,50,0.48,3,99.18,100.0,True
line,102,62,63,50,0.5,2,99.51333333333334,100.0,True
line,103,63,64,50,0.34,2,99.51333333333334,100.0,True
line,104,63,66,50,0.36,2,99.51333333333334,100.0,True
line,105,63,238,50,1.32,3,99.18,100.0,True
line,106,63,240,50,1.32,3,99.19333333333334,100.0,True
line,107,64,65,50,0.46,3,99.50666666666666,100.0,True
line,108,64,68,50,0.46,3,99.18,100.0,True
line,109,65,189,50,1.96,4,99.50666666666666,100.0,True
line,110,66,189,50,0.46,3,99.51333333333334,100.0,True
line,111,67,172,50,0.42,2,99.51333333333334,100.0,True
line,112,67,173,50,0.42,2,99.18,100.0,True
line,113,69,70,50,0.5,3,99.5,100.0,True
line,114,70,71,50,1.44,4,99.18,100.0,True
line,115,70,233,50,1.44,4,99.18,100.0,True
line,116,73,75,50,0.46,3,99.51333333333334,100.0,True
line,117,74,76,50,0.46,3,99.51333333333334,100.0,True
line,118,75,77,50,0.46,3,99.51333333333334,100.0,True
line,119,75,78,50,0.48,3,99.18,100.0,True
line,120,76,83,50,0.46,3,99.50666666666666,100.0,True
line,121,76,85,50,0.48,3,99.18,100.0,True
line,122,77,78,50,0.48,3,99.18,100.0,True
line,123,78,81,50,0.46,3,99.51333333333334,100.0,True
line,124,78,82,50,0.48,3,99.51333333333334,100.0,True
line,125,78,83,50,0.46,3,99.51333333333334,100.0,True
line,126,79,81,50,0.46,3,99.51333333333334,100.0,True
line,127,79,82,50,0.46,3,99.18,100.0,True
line,128,80,86,50,0.46,3,99.18666666666667,100.0,True
line,129,80,87,50,0.48,3,99.51333333333334,100.0,True
line,130,80,88,50,0.52,4,99.5,100.0,True
line,131,80,89,50,0.42,3,99.18,100.0,True
line,132,81,82,50,0.46,3,99.51333333333334,100.0,True
line,133,82,84,50,0.46,3,99.51333333333334,100.0,True
line,134,83,85,50,0.46,3,99.51333333333334,100.0,True
line,135,84,87,50,0.46,3,99.51333333333334,100.0,True
line,136,84,232,50,0.46,3,99.18666666666667,100.0,True
line,137,85,86,50,0.48,3,99.51333333333334,100.0,True
line,138,85,89,50,0.46,3,99.51333333333334,100.0,True
line,139,87,234,50,0.46,3,99.18,100.0,True
line,140,88,89,50,0.46,3,99.51333333333334,100.0,True
line,141,88,91,50,0.48,3,99.51333333333334,100.0,True
line,142,88,92,50,0.5,4,99.50666666666666,100.0,True
line,143,89,90,50,0.46,3,99.51333333333334,100.0,True
line,144,90,92,50,1.4,4,99.18666666666667,100.0,True
line,145,93,100,50,0.5,3,99.18666666666667,100.0,True
line,146,94,98,50,0.48,3,99.50666666666666,100.0,True
line,147,95,96,50,-0.4,2,99.51333333333334,100.0,False
line,148,96,97,50,-0.44,2,99.51333333333334,100.0,False
line,149,96,244,50,-0.44,2,99.50666666666666,100.0,False
line,150,244,98,50,0.46,3,99.51333333333334,100.0,True
line,151,96,99,50,-0.44,2,99.51333333333334,100.0,False
line,152,97,98,50,0.48,3,99.51333333333334,100.0,True
line,153,97,99,50,0.46,3,99.51333333333334,100.0,True
line,154,100,101,50,0.5,3,99.51333333333334,100.0,True
line,155,100,103,50,0.5,3,99.51333333333334,100.0,True
line,156,101,102,50,0.48,3,99.18,100.0,True
line,157,101,103,50,0.46,3,99.51333333333334,100.0,True
line,158,103,104,50,0.46,3,99.18,100.0,True
line,159,105,106,50,0.46,3,99.51333333333334,100.0,True
line,160,105,112,50,0.5,3,99.51333333333334,100.0,True
line,161,105,146,50,0.46,3,99.51333333333334,100.0,True
line,162,106,108,50,0.62,3,99.5,100.0,True
line,163,106,111,50,0.46,3,99.51333333333334,100.0,True
line,164,107,108,50,0.5,3,99.51333333333334,100.0,True
line,165,107,111,50,0.46,3,99.51333333333334,100.0,True
line,166,108,110,50,0.5,3,99.51333333333334,100.0,True
line,167,108,129,50,0.48,3,99.18,100.0,True
line,168,108,145,50,1.46,4,99.18,100.0,True
line,169,108,146,50,0.58,3,99.50666666666666,100.0,True
line,170,111,115,50,0.52,3,99.51333333333334,100.0,True
line,171,111,146,50,0.46,3,99.50666666666666,100.0,True
line,172,111,147,50,0.5,3,99.5,100.0,True
line,173,112,113,50,0.52,3,99.18,100.0,True
line,174,112,162,50,0.46,3,99.51333333333334,100.0,True
line,175,113,114,50,0.46,3,99.51333333333334,100.0,True
line,176,114,115,50,1.44,4,99.18,100.0,True
line,177,114,130,50,0.46,3,99.51333333333334,100.0,True
line,178,115,118,50,0.5,3,99.51333333333334,100.0,True
line,179,115,159,50,0.54,3,99.51333333333334,100.0,True
line,180,115,164,50,0.46,3,99.18,100.0,True
line,181,115,166,50,0.46,3,99.18666666666667,100.0,True
line,182,117,150,50,0.46,3,99.51333333333334,100.0,True
line,183,118,119,50,1.42,4,99.18666666666667,100.0,True
line,184,118,120,50,0.46,3,99.51333333333334,100.0,True
line,185,118,123,50,0.46,3,99.51333333333334,100.0,True
line,186,118,124,50,0.48,3,99.18,100.0,True
line,187,118,125,50,1.42,4,99.18666666666667,100.0,True
line,188,118,160,50,0.46,3,99.51333333333334,100.0,True
line,189,119,124,50,0.5,3,99.51333333333334,100.0,True
line,190,120,121,50,0.52,3,99.50666666666666,100.0,True
line,191,121,123,50,0.5,3,99.50666666666666,100.0,True
line,192,121,127,50,0.56,3,99.18,100.0,True
line,193,123,124,50,0.46,3,99.51333333333334,100.0,True
line,194,123,127,50,0.48,3,99.51333333333334,100.0,True
