kind,idx,nodes,edges,components,coverage_fixed_%,pmus_fixed,coverage_reopt_%,pmus_reopt,delta_pmus,greedy_time_s,pmus_reopt_list,failed_u,failed_v,keeps_100%
line,0,14,15,2,85.71428571428571,5,100.0,5,0,6.0699996538460255e-05,"[0, 1, 5, 7, 8]",0,1,False
line,1,14,15,2,85.71428571428571,5,100.0,4,-1,4.7999987145885825e-05,"[1, 5, 7, 8]",0,4,False
line,2,14,15,3,85.71428571428571,5,100.0,5,0,5.870001041330397e-05,"[1, 2, 5, 7, 8]",1,2,False
line,3,14,15,2,85.71428571428571,5,100.0,5,0,5.670002428814769e-05,"[1, 3, 5, 7, 8]",1,3,False
line,4,14,16,2,85.71428571428571,5,100.0,4,-1,4.839999019168317e-05,"[1, 5, 7, 8]",1,4,False
line,5,14,16,2,85.71428571428571,5,100.0,4,-1,7.510001887567341e-05,"[1, 5, 7, 8]",2,3,False
line,6,14,15,2,85.71428571428571,5,100.0,4,-1,7.270000060088933e-05,"[1, 5, 7, 8]",3,4,False
line,7,14,15,2,78.57142857142857,5,100.0,5,0,8.709999383427203e-05,"[1, 5, 7, 8, 9]",5,10,False
line,8,14,15,2,78.57142857142857,5,100.0,5,0,6.0399994254112244e-05,"[1, 5, 7, 8, 11]",5,11,False
line,9,14,15,2,78.57142857142857,5,100.0,5,0,5.9399986639618874e-05,"[1, 5, 7, 8, 11]",5,12,False
line,10,14,15,2,78.57142857142857,5,100.0,5,0,0.0001260999997612089,"[1, 5, 7, 8, 9]",8,9,False
line,11,14,15,2,78.57142857142857,5,100.0,5,0,5.9200014220550656e-05,"[1, 5, 7, 8, 12]",8,13,False
line,12,14,15,2,85.71428571428571,5,100.0,4,-1,5.199998850002885e-05,"[1, 5, 7, 8]",9,10,False
line,13,14,15,2,85.71428571428571,5,100.0,4,-1,5.2300019888207316e-05,"[1, 5, 7, 8]",11,12,False
line,14,14,15,2,85.71428571428571,5,100.0,4,-1,5.1000009989365935e-05,"[1, 5, 7, 8]",12,13,False
