kind,idx,nodes,edges,components,coverage_fixed_%,pmus_fixed,coverage_reopt_%,pmus_reopt,delta_pmus,greedy_time_s,pmus_reopt_list,failed_u,failed_v,keeps_100%
line,0,57,77,1,98.24561403508773,18,100.0,19,1,0.0008187999483197927,"[0, 1, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",0,1,False
line,1,57,77,1,100.0,18,100.0,18,0,0.0014448000001721084,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",1,2,True
line,2,57,77,1,100.0,18,100.0,18,0,0.0007728000055067241,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",2,3,True
line,3,57,77,1,98.24561403508773,18,100.0,19,1,0.0009920999873429537,"[0, 3, 4, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",3,4,False
line,4,57,77,1,98.24561403508773,18,100.0,19,1,0.0022190000163391232,"[0, 3, 4, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",3,5,False
line,5,57,77,1,100.0,18,100.0,18,0,0.0008411000017076731,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",5,6,True
line,6,57,77,1,100.0,18,100.0,18,0,0.0007137000211514533,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",5,7,True
line,7,57,77,1,98.24561403508773,18,100.0,19,1,0.0009556000004522502,"[0, 3, 5, 10, 12, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 50, 53, 55]",7,8,False
line,8,57,77,1,98.24561403508773,18,100.0,19,1,0.001087700016796589,"[0, 3, 5, 10, 12, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 50, 53, 55]",8,9,False
line,9,57,77,1,100.0,18,100.0,19,1,0.0015713999746367335,"[0, 3, 8, 10, 12, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",8,10,True
line,10,57,77,1,98.24561403508773,18,100.0,19,1,0.0007595999632030725,"[0, 3, 8, 10, 12, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",8,11,False
line,11,57,77,1,100.0,18,100.0,18,0,0.0007430000114254653,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",8,12,True
line,12,57,77,1,100.0,18,100.0,18,0,0.001428399991709739,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",12,13,True
line,13,57,77,1,100.0,18,100.0,18,0,0.0008052000193856657,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",12,14,True
line,14,57,77,1,100.0,18,100.0,19,1,0.001041000010445714,"[0, 3, 8, 10, 13, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",0,14,True
line,15,57,77,1,98.24561403508773,18,100.0,19,1,0.0008950000046752393,"[0, 3, 8, 10, 11, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",0,15,False
line,16,57,77,1,98.24561403508773,18,100.0,19,1,0.0008088999893516302,"[0, 3, 8, 10, 11, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",0,16,False
line,17,57,77,1,100.0,18,100.0,18,0,0.0010399000020697713,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",2,14,True
line,18,57,77,1,100.0,18,100.0,18,0,0.0013491000281646848,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",4,5,True
line,19,57,77,1,100.0,18,100.0,18,0,0.0008529999759048223,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",6,7,True
line,20,57,77,1,100.0,18,100.0,18,0,0.0007252999930642545,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",9,11,True
line,21,57,77,1,100.0,18,100.0,18,0,0.0021496000117622316,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",10,12,True
line,22,57,77,1,100.0,18,100.0,18,0,0.0009345999569632113,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",11,12,True
line,23,57,77,1,100.0,18,100.0,18,0,0.0011507999734021723,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",11,15,True
line,24,57,77,1,100.0,18,100.0,18,0,0.0020537000382319093,"[0, 3, 8, 10, 14, 19, 23, 24, 25, 28, 31, 34, 36, 37, 45, 49, 52, 55]",11,16,True
