kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,0,0,1,50,0.42,2,98.52542372881356,100.0,True
line,1,0,2,50,0.4,2,98.54237288135593,100.0,True
line,2,3,4,50,0.76,3,98.54237288135593,100.0,True
line,3,2,4,50,0.4,2,98.54237288135593,100.0,True
line,4,4,5,50,1.44,3,97.69491525423729,100.0,True
line,5,5,6,50,0.4,2,98.54237288135593,100.0,True
line,6,7,8,50,0.36,2,98.47457627118644,100.0,True
line,7,8,9,50,1.34,3,97.71186440677965,100.0,True
line,8,3,10,50,0.4,2,98.54237288135593,100.0,True
line,9,4,10,50,0.4,2,98.54237288135593,100.0,True
line,10,10,11,50,0.4,2,98.54237288135593,100.0,True
line,11,1,11,50,0.4,2,98.54237288135593,100.0,True
line,12,2,11,50,0.4,2,98.54237288135593,100.0,True
line,13,6,11,50,1.4,3,97.69491525423729,100.0,True
line,14,10,12,50,0.4,2,97.69491525423729,100.0,True
line,15,11,13,50,0.3,2,97.69491525423729,100.0,True
line,16,12,14,50,0.46,3,98.54237288135593,100.0,True
line,17,13,14,50,0.4,2,98.54237288135593,100.0,True
line,18,11,15,50,0.56,2,98.52542372881356,100.0,True
line,19,14,16,50,0.28,2,97.71186440677965,100.0,True
line,20,15,16,50,0.4,2,98.54237288135593,100.0,True
line,21,16,17,50,0.46,2,97.71186440677965,100.0,True
line,22,17,18,50,0.44,2,98.54237288135593,100.0,True
line,23,18,19,50,0.36,2,98.50847457627118,100.0,True
line,24,14,18,50,0.42,2,98.54237288135593,100.0,True
line,25,19,20,50,1.14,3,97.72881355932205,100.0,True
line,26,20,21,50,0.6,2,98.54237288135593,100.0,True
line,27,21,22,50,1.62,3,97.69491525423729,100.0,True
line,28,22,23,50,0.88,2,97.69491525423729,100.0,True
line,29,22,24,50,1.54,3,98.54237288135593,100.0,True
line,30,24,26,50,0.3,2,98.54237288135593,100.0,True
line,31,26,27,50,-0.46,2,98.54237288135593,100.0,False
line,32,27,28,50,0.42,2,97.69491525423729,100.0,True
line,33,7,29,50,0.38,2,98.54237288135593,100.0,True
line,34,25,29,50,0.6,2,98.54237288135593,100.0,True
line,35,16,30,50,0.44,2,98.50847457627118,100.0,True
line,36,28,30,50,0.4,2,98.54237288135593,100.0,True
line,37,22,31,50,1.98,4,98.54237288135593,100.0,True
line,38,30,31,50,0.58,2,98.54237288135593,100.0,True
line,39,26,31,50,0.42,2,98.54237288135593,100.0,True
line,40,14,32,50,0.4,2,98.54237288135593,100.0,True
line,41,18,33,50,0.4,2,98.50847457627118,100.0,True
line,42,34,35,50,0.4,2,98.54237288135593,100.0,True
line,43,34,36,50,1.24,3,97.71186440677965,100.0,True
line,44,32,36,50,0.36,2,97.69491525423729,100.0,True
line,45,33,35,50,1.38,3,97.69491525423729,100.0,True
line,46,33,36,50,0.38,2,98.54237288135593,100.0,True
line,47,36,38,50,0.4,2,98.52542372881356,100.0,True
line,48,36,39,50,0.36,2,98.54237288135593,100.0,True
line,49,29,37,50,0.4,2,98.54237288135593,100.0,True
line,50,38,39,50,0.44,2,98.50847457627118,100.0,True
line,51,39,40,50,0.44,2,97.71186440677965,100.0,True
line,52,39,41,50,0.4,2,98.54237288135593,100.0,True
line,53,40,41,50,0.4,2,98.54237288135593,100.0,True
line,54,42,43,50,0.4,2,98.54237288135593,100.0,True
line,55,33,42,50,1.38,3,97.71186440677965,100.0,True
line,56,43,44,50,1.38,3,97.69491525423729,100.0,True
line,57,44,45,50,1.38,3,97.69491525423729,100.0,True
line,58,45,46,50,0.4,2,98.54237288135593,100.0,True
line,59,45,47,50,0.4,2,98.54237288135593,100.0,True
line,60,46,48,50,1.34,3,97.69491525423729,100.0,True
line,61,41,48,50,0.4,2,98.54237288135593,100.0,True
line,62,41,48,50,0.4,2,98.54237288135593,100.0,True
line,63,44,48,50,1.28,3,98.54237288135593,100.0,True
line,64,47,48,50,1.38,3,97.69491525423729,100.0,True
line,65,48,49,50,0.5,2,98.54237288135593,100.0,True
line,66,48,50,50,0.42,2,98.54237288135593,100.0,True
line,67,50,51,50,-0.42,1,98.54237288135593,100.0,False
line,68,51,52,50,0.5,2,97.69491525423729,100.0,True
line,69,52,53,50,0.4,2,98.54237288135593,100.0,True
line,70,48,53,50,0.4,2,98.54237288135593,100.0,True
line,71,48,53,50,0.4,2,98.54237288135593,100.0,True
line,72,53,54,50,0.4,2,98.54237288135593,100.0,True
line,73,53,55,50,0.4,2,98.54237288135593,100.0,True
line,74,54,55,50,0.54,2,98.54237288135593,100.0,True
line,75,55,56,50,0.56,2,98.54237288135593,100.0,True
line,76,49,56,50,0.44,2,97.71186440677965,100.0,True
line,77,55,57,50,0.56,2,98.54237288135593,100.0,True
line,78,50,57,50,-0.42,1,97.69491525423729,100.0,False
line,79,53,58,50,0.4,2,98.54237288135593,100.0,True
line,80,55,58,50,0.4,2,98.54237288135593,100.0,True
line,81,55,58,50,0.4,2,98.54237288135593,100.0,True
line,82,54,58,50,-0.26,2,97.69491525423729,100.0,False
line,83,58,59,50,-0.26,2,98.54237288135593,100.0,False
line,84,58,60,50,-0.26,2,98.54237288135593,100.0,False
line,85,59,60,50,0.32,2,98.54237288135593,100.0,True
line,86,59,61,50,0.4,2,98.54237288135593,100.0,True
line,87,60,61,50,0.34,2,98.54237288135593,100.0,True
line,88,62,63,50,0.42,2,98.54237288135593,100.0,True
line,89,37,64,50,0.44,2,98.54237288135593,100.0,True
line,90,63,64,50,0.62,3,98.54237288135593,100.0,True
line,91,48,65,50,0.4,2,98.54237288135593,100.0,True
line,92,48,65,50,0.4,2,98.54237288135593,100.0,True
line,93,61,65,50,0.4,2,98.54237288135593,100.0,True
line,94,61,66,50,0.4,2,97.69491525423729,100.0,True
line,95,65,66,50,0.52,2,98.54237288135593,100.0,True
line,96,46,68,50,0.4,2,98.54237288135593,100.0,True
line,97,48,68,50,0.42,2,98.54237288135593,100.0,True
line,98,68,69,50,0.4,2,98.54237288135593,100.0,True
line,99,23,69,50,0.28,2,98.54237288135593,100.0,True
line,100,69,70,50,0.28,2,98.54237288135593,100.0,True
line,101,23,71,50,0.34,2,98.54237288135593,100.0,True
