kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,0,0,1,50,1.48,3,95.78947368421053,100.0,True
line,1,1,2,50,0.6,2,97.47368421052632,100.0,True
line,2,2,3,50,0.66,2,97.47368421052632,100.0,True
line,3,3,4,50,1.1,2,95.78947368421053,100.0,True
line,4,3,5,50,1.18,2,95.75438596491229,100.0,True
line,5,5,6,50,0.64,2,97.47368421052632,100.0,True
line,6,5,7,50,0.6,2,97.47368421052632,100.0,True
line,7,7,8,50,1.3,3,95.78947368421053,100.0,True
line,8,8,9,50,1.16,3,95.78947368421053,100.0,True
line,9,8,10,50,0.86,2,97.47368421052632,100.0,True
line,10,8,11,50,1.2,2,95.89473684210526,100.0,True
line,11,8,12,50,0.6,2,97.47368421052632,100.0,True
line,12,12,13,50,0.46,2,97.47368421052632,100.0,True
line,13,12,14,50,0.46,2,97.47368421052632,100.0,True
line,14,0,14,50,1.14,2,97.47368421052632,100.0,True
line,15,0,15,50,1.44,3,95.82456140350878,100.0,True
line,16,0,16,50,1.44,3,95.78947368421053,100.0,True
line,17,2,14,50,0.62,2,97.43859649122807,100.0,True
line,18,4,5,50,0.62,2,97.47368421052632,100.0,True
line,19,6,7,50,0.62,2,97.47368421052632,100.0,True
line,20,9,11,50,0.6,2,97.47368421052632,100.0,True
line,21,10,12,50,0.44,2,97.47368421052632,100.0,True
line,22,11,12,50,0.48,2,97.47368421052632,100.0,True
line,23,11,15,50,0.6,2,97.47368421052632,100.0,True
line,24,11,16,50,0.6,2,97.47368421052632,100.0,True
line,25,13,14,50,0.7,2,97.1578947368421,100.0,True
line,26,17,18,50,0.6,2,97.47368421052632,100.0,True
line,27,18,19,50,1.5,3,95.75438596491229,100.0,True
line,28,20,21,50,0.6,2,97.47368421052632,100.0,True
line,29,21,22,50,0.6,2,97.47368421052632,100.0,True
line,30,22,23,50,1.32,2,95.71929824561404,100.0,True
line,31,25,26,50,0.68,2,95.71929824561404,100.0,True
line,32,26,27,50,0.72,2,97.47368421052632,100.0,True
line,33,27,28,50,0.72,2,95.71929824561404,100.0,True
line,34,24,29,50,0.6,2,95.78947368421053,100.0,True
line,35,29,30,50,0.66,2,97.47368421052632,100.0,True
line,36,30,31,50,0.62,2,95.78947368421053,100.0,True
line,37,31,32,50,0.86,2,95.75438596491229,100.0,True
line,38,33,34,50,0.74,2,97.26315789473685,100.0,True
line,39,34,35,50,0.84,2,97.36842105263159,100.0,True
line,40,35,36,50,0.64,2,97.43859649122807,100.0,True
line,41,36,37,50,0.58,2,97.47368421052632,100.0,True
line,42,36,38,50,0.64,2,95.75438596491229,100.0,True
line,43,35,39,50,0.76,2,97.47368421052632,100.0,True
line,44,21,37,50,1.14,2,95.85964912280703,100.0,True
line,45,40,41,50,0.76,2,97.47368421052632,100.0,True
line,46,40,42,50,0.76,2,97.47368421052632,100.0,True
line,47,37,43,50,0.68,2,95.78947368421053,100.0,True
line,48,45,46,50,1.62,3,95.75438596491229,100.0,True
line,49,46,47,50,0.66,2,97.47368421052632,100.0,True
line,50,47,48,50,0.6,2,97.47368421052632,100.0,True
line,51,48,49,50,0.68,2,97.2982456140351,100.0,True
line,52,49,50,50,1.58,3,95.71929824561404,100.0,True
line,53,28,51,50,0.64,2,97.43859649122807,100.0,True
line,54,51,52,50,0.7,2,97.43859649122807,100.0,True
line,55,52,53,50,1.5,3,95.78947368421053,100.0,True
line,56,53,54,50,0.74,2,97.47368421052632,100.0,True
line,57,43,44,50,0.66,2,97.47368421052632,100.0,True
line,58,55,40,50,0.64,2,97.2982456140351,100.0,True
line,59,55,41,50,0.12,2,95.75438596491229,100.0,True
line,60,56,55,50,0.08,1,95.75438596491229,100.0,True
line,61,37,48,50,0.64,2,97.36842105263159,100.0,True
line,62,37,47,50,0.98,2,95.71929824561404,100.0,True
trafo,0,17,3,50,0.64,2,97.33333333333334,100.0,True
trafo,1,17,3,50,0.64,2,97.33333333333334,100.0,True
trafo,2,19,20,50,1.4,2,95.85964912280703,100.0,True
trafo,3,24,23,50,0.56,2,97.47368421052632,100.0,True
trafo,4,24,23,50,0.58,2,97.47368421052632,100.0,True
trafo,5,25,23,50,0.6,2,97.47368421052632,100.0,True
trafo,6,28,6,50,0.72,2,95.9298245614035,100.0,True
trafo,7,31,33,50,0.82,2,97.36842105263159,100.0,True
trafo,8,40,10,50,0.6,2,97.40350877192982,100.0,True
trafo,9,44,14,50,0.72,2,95.89473684210526,100.0,True
trafo,10,45,13,50,0.68,2,97.43859649122807,100.0,True
trafo,11,50,9,50,0.68,2,97.47368421052632,100.0,True
trafo,12,48,12,50,0.44,2,97.47368421052632,100.0,True
trafo,13,42,10,50,0.6,2,95.96491228070175,100.0,True
trafo,14,55,39,50,0.06,1,95.9298245614035,100.0,True
trafo,15,56,38,50,0.74,2,97.47368421052632,100.0,True
trafo,16,54,8,50,1.04,3,95.96491228070175,100.0,True
