kind,idx,nodes,edges,components,coverage_fixed_%,pmus_fixed,coverage_reopt_%,pmus_reopt,delta_pmus,greedy_time_s,pmus_reopt_list,failed_u,failed_v,keeps_100%
line,20,118,178,1,100.0,36,100.0,36,0,0.004120500001590699,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",15,16,True
line,21,118,178,1,99.15254237288136,36,100.0,36,0,0.0040265999850817025,"[0, 4, 8, 11, 14, 17, 20, 25, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",16,17,False
line,22,118,178,1,100.0,36,100.0,36,0,0.003632000007200986,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",17,18,True
line,23,118,178,1,100.0,36,100.0,36,0,0.0037283000128809363,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",18,19,True
line,24,118,178,1,100.0,36,100.0,36,0,0.003158599982270971,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",14,18,True
line,25,118,178,1,99.15254237288136,36,100.0,37,1,0.0038920000079087913,"[0, 4, 8, 10, 11, 16, 18, 20, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",19,20,False
line,26,118,178,1,100.0,36,100.0,36,0,0.0032139999966602772,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",20,21,True
line,27,118,178,1,99.15254237288136,36,100.0,38,2,0.004291099990950897,"[0, 4, 8, 10, 11, 16, 19, 20, 23, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",21,22,False
line,28,118,178,1,99.15254237288136,36,100.0,37,1,0.004677999997511506,"[0, 4, 8, 10, 11, 16, 19, 21, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",22,23,False
line,29,118,178,1,100.0,36,100.0,38,2,0.004006799979833886,"[0, 4, 8, 10, 11, 16, 19, 20, 23, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",22,24,True
line,30,118,178,1,100.0,36,100.0,36,0,0.0032749999954830855,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",24,26,True
line,31,118,178,1,100.0,36,100.0,35,-1,0.003058200003579259,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 27, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109, 114]",26,27,True
line,32,118,178,1,99.15254237288136,36,100.0,36,0,0.0035714000114239752,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 28, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",27,28,False
line,33,118,178,1,100.0,36,100.0,36,0,0.00293210000381805,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",7,29,True
line,34,118,178,1,100.0,36,100.0,36,0,0.0036925000022165477,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",25,29,True
line,35,118,178,1,100.0,36,100.0,36,0,0.0030163999763317406,"[0, 4, 8, 11, 14, 16, 20, 25, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",16,30,True
line,36,118,178,1,100.0,36,100.0,36,0,0.0033466000168118626,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",28,30,True
line,37,118,178,1,100.0,36,100.0,38,2,0.0030285999819170684,"[0, 4, 8, 10, 11, 16, 19, 20, 23, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",22,31,True
line,38,118,178,1,100.0,36,100.0,36,0,0.002849399985279888,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",30,31,True
line,39,118,178,1,100.0,36,100.0,36,0,0.004954600008204579,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",26,31,True
line,40,118,178,1,100.0,36,100.0,36,0,0.004107299988390878,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",14,32,True
line,41,118,178,1,100.0,36,100.0,36,0,0.003716800012625754,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",18,33,True
line,42,118,178,1,100.0,36,100.0,36,0,0.0029122999985702336,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",34,35,True
line,43,118,178,1,99.15254237288136,36,100.0,37,1,0.004691499983891845,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 34, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",34,36,False
line,44,118,178,1,99.15254237288136,36,100.0,36,0,0.0029217999835964292,"[0, 4, 8, 11, 14, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",32,36,False
line,45,118,178,1,99.15254237288136,36,100.0,37,1,0.003425000002607703,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 34, 36, 39, 42, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",33,35,False
line,46,118,178,1,100.0,36,100.0,36,0,0.008455400005914271,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",33,36,True
line,47,118,178,1,100.0,36,100.0,36,0,0.002883800014387816,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",36,38,True
line,48,118,178,1,100.0,36,100.0,36,0,0.0030872999923303723,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",36,39,True
line,49,118,178,1,100.0,36,100.0,36,0,0.002983599988510832,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",29,37,True
line,50,118,178,1,100.0,36,100.0,36,0,0.0029362000059336424,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",38,39,True
line,51,118,178,1,99.15254237288136,36,100.0,36,0,0.0044864999945275486,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 40, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",39,40,False
line,52,118,178,1,100.0,36,100.0,36,0,0.002886800008127466,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",39,41,True
line,53,118,178,1,100.0,36,100.0,36,0,0.002909999981056899,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",40,41,True
line,54,118,178,1,100.0,36,100.0,36,0,0.0031592999876011163,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",42,43,True
line,55,118,178,1,99.15254237288136,36,100.0,37,1,0.003544999985024333,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 42, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",33,42,False
line,56,118,178,1,99.15254237288136,36,100.0,37,1,0.0046959999890532345,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 42, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",43,44,False
line,57,118,178,1,99.15254237288136,36,100.0,37,1,0.0045513999939430505,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 42, 45, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",44,45,False
line,58,118,178,1,100.0,36,100.0,36,0,0.004496799985645339,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",45,46,True
line,59,118,178,1,100.0,36,100.0,36,0,0.0030928999767638743,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",45,47,True
line,60,118,178,1,99.15254237288136,36,100.0,37,1,0.003897199989296496,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 45, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",46,48,False
line,61,118,179,1,100.0,36,100.0,36,0,0.003461500018602237,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",41,48,True
line,62,118,179,1,100.0,36,100.0,36,0,0.0028580000216607004,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",41,48,True
line,63,118,178,1,100.0,36,100.0,37,1,0.002958900004159659,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 43, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",44,48,True
line,64,118,178,1,99.15254237288136,36,100.0,37,1,0.0029789000109303743,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 45, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",47,48,False
line,65,118,178,1,100.0,36,100.0,36,0,0.0030805999995209277,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",48,49,True
line,66,118,178,1,100.0,36,100.0,36,0,0.0031587000121362507,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",48,50,True
line,67,118,178,1,100.0,36,100.0,35,-1,0.002848400006769225,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 51, 55, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",50,51,True
line,68,118,178,1,99.15254237288136,36,100.0,36,0,0.0038834000006318092,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 52, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",51,52,False
line,69,118,178,1,100.0,36,100.0,36,0,0.004150699998717755,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",52,53,True
line,70,118,179,1,100.0,36,100.0,36,0,0.002862599998479709,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",48,53,True
line,71,118,179,1,100.0,36,100.0,36,0,0.003414500009967014,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",48,53,True
line,72,118,178,1,100.0,36,100.0,36,0,0.002897600003052503,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",53,54,True
line,73,118,178,1,100.0,36,100.0,36,0,0.0047762999893166125,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",53,55,True
line,74,118,178,1,100.0,36,100.0,36,0,0.0028512999997474253,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",54,55,True
line,75,118,178,1,100.0,36,100.0,36,0,0.0029070000164210796,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",55,56,True
line,76,118,178,1,99.15254237288136,36,100.0,36,0,0.0035271000233478844,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 50, 51, 55, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",49,56,False
line,77,118,178,1,100.0,36,100.0,36,0,0.0031849999795667827,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",55,57,True
line,78,118,178,1,99.15254237288136,36,100.0,35,-1,0.0028517000027932227,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 51, 55, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",50,57,False
line,79,118,178,1,100.0,36,100.0,36,0,0.00289649999467656,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",53,58,True
line,80,118,179,1,100.0,36,100.0,36,0,0.0035766000219155103,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",55,58,True
line,81,118,179,1,100.0,36,100.0,36,0,0.0029094000055920333,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",55,58,True
line,82,118,178,1,99.15254237288136,36,100.0,35,-1,0.0029104000132065266,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 51, 55, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",54,58,False
line,83,118,178,1,100.0,36,100.0,35,-1,0.004362899984698743,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 51, 55, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",58,59,True
line,84,118,178,1,100.0,36,100.0,35,-1,0.0028553000011015683,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 51, 55, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",58,60,True
line,85,118,178,1,100.0,36,100.0,36,0,0.0034439000010024756,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",59,60,True
line,86,118,178,1,100.0,36,100.0,36,0,0.0029255000117700547,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",59,61,True
line,87,118,178,1,100.0,36,100.0,36,0,0.002896199992392212,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",60,61,True
line,88,118,178,1,100.0,36,100.0,36,0,0.0029272999963723123,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 60, 61, 67, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",62,63,True
