kind,idx,nodes,edges,components,coverage_fixed_%,pmus_fixed,coverage_reopt_%,pmus_reopt,delta_pmus,greedy_time_s,pmus_reopt_list,failed_u,failed_v,keeps_100%
line,0,118,176,1,99.15254237288136,36,100.0,37,1,0.007314100017538294,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",0,1,False
line,1,118,176,1,99.15254237288136,36,100.0,37,1,0.0035094000049866736,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",0,2,False
line,2,118,176,1,99.15254237288136,36,100.0,37,1,0.003481100022327155,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",3,4,False
line,3,118,176,1,99.15254237288136,36,100.0,37,1,0.003059899987420067,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",2,4,False
line,4,118,176,1,98.30508474576271,36,100.0,38,2,0.0033548000210430473,"[0, 4, 5, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",4,5,False
line,5,118,176,1,99.15254237288136,36,100.0,37,1,0.002944900013972074,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",5,6,False
line,6,118,176,2,99.15254237288136,36,100.0,37,1,0.0037314000073820353,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",7,8,False
line,7,118,176,2,98.30508474576271,36,100.0,38,2,0.0037918000016361475,"[0, 4, 7, 9, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",8,9,False
line,8,118,176,1,99.15254237288136,36,100.0,37,1,0.003124199982266873,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",3,10,False
line,9,118,176,1,99.15254237288136,36,100.0,37,1,0.003116900013992563,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",4,10,False
line,10,118,176,1,99.15254237288136,36,100.0,37,1,0.0033989999792538583,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",10,11,False
line,11,118,176,1,99.15254237288136,36,100.0,37,1,0.0031129999842960387,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",1,11,False
line,12,118,176,1,99.15254237288136,36,100.0,37,1,0.003028300008736551,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",2,11,False
line,13,118,176,1,98.30508474576271,36,100.0,38,2,0.0036048000038135797,"[0, 4, 5, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",6,11,False
line,14,118,176,1,98.30508474576271,36,100.0,37,1,0.00312920002033934,"[0, 4, 8, 11, 12, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",10,12,False
line,15,118,176,1,98.30508474576271,36,100.0,36,0,0.003033300017705187,"[0, 4, 8, 11, 14, 16, 20, 25, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",11,13,False
line,16,118,176,1,99.15254237288136,36,100.0,37,1,0.0034248000010848045,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",12,14,False
line,17,118,176,1,99.15254237288136,36,100.0,37,1,0.003097099979640916,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",13,14,False
line,18,118,176,1,99.15254237288136,36,100.0,37,1,0.003503600019030273,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",11,15,False
line,19,118,176,1,98.30508474576271,36,100.0,36,0,0.0034869000082835555,"[0, 4, 8, 10, 11, 18, 20, 26, 27, 29, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",14,16,False
line,20,118,176,1,99.15254237288136,36,100.0,37,1,0.00298400002066046,"[0, 4, 8, 10, 11, 16, 19, 22, 24, 26, 27, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",15,16,False
line,21,118,176,1,98.30508474576271,36,100.0,36,0,0.004480500007048249,"[0, 4, 8, 10, 11, 18, 20, 26, 27, 29, 31, 33, 36, 39, 44, 48, 49, 50, 51, 58, 61, 64, 67, 69, 70, 74, 76, 79, 84, 85, 88, 91, 93, 99, 104, 109]",16,17,False
